gyro_x,gyro_y,gyro_z
0.1159,1.954,1.975
-0.28,1.496,1.351
-0.7907,0.9789,0.6815
-1.046,0.4597,0.1512
-0.9654,-0.02414,-0.2727
-0.787,-0.4737,-0.649
-0.8163,-0.8965,-1.079
-1.161,-1.182,-1.587
-0.6954,-1.361,-1.981
-0.1749,-1.502,-2.175
0.227,-1.548,-2.176
0.4506,-1.56,-2.104
0.05355,-1.399,-1.955
-0.08817,-1.069,-1.59
-0.1224,-0.5983,-0.8005
0.7585,-0.09866,0.08891
0.8465,0.4059,0.7694
0.833,0.9056,1.301
0.6485,1.364,1.693
0.6644,1.735,1.904
0.7512,1.944,1.928
0.3663,1.92,1.709
-0.1138,1.645,1.401
-0.1712,1.226,1.004
-0.3301,0.7358,0.4567
-0.5585,0.1946,-0.06625
-0.7821,-0.3186,-0.4548
-0.7051,-0.734,-0.7626
-0.3814,-1.042,-1.053
-0.1468,-1.25,-1.323
0.1281,-1.333,-1.499
1.002,-1.402,-1.476
0.9442,-1.386,-1.481
0.01934,-1.342,-1.499
-0.3289,-1.171,-1.336
-0.3875,-0.9209,-1.039
-0.5023,-0.5983,-0.511
-0.1664,-0.172,0.1366
0.2527,0.3289,0.7474
0.7646,0.8885,1.284
0.6913,1.402,1.572
0.629,1.824,1.704
0.8746,2.017,1.694
0.9344,2.003,1.523
0.7548,1.78,1.259
0.249,1.347,0.883
-0.5414,0.792,0.5006
-1.041,0.2153,0.1463
-0.8481,-0.2954,-0.2067
-0.5683,-0.7376,-0.5476
-0.539,-1.102,-0.8469
-0.4803,-1.359,-1.073
-0.4486,-1.544,-1.257
-0.1187,-1.81,-1.575
1.963,-1.945,-1.867
3.101,-2.094,-2.069
3.703,-2.27,-2.087
3.495,-2.358,-1.938
3.402,-2.22,-1.622
3.424,-1.981,-1.244
2.618,-1.709,-0.9997
1.863,-1.247,-0.7125
1.109,-0.6277,-0.4499
0.4311,0.03328,-0.2043
-0.159,0.7077,0.03516
-0.5427,1.383,0.3162
-0.7491,1.906,0.5935
-0.8408,2.385,0.8183
-1.086,2.865,1.021
-1.365,3.143,1.202
-1.199,3.169,1.207
-0.6355,2.848,1.033
-0.3386,2.477,0.7706
-0.2531,2.019,0.4872
-1.274,1.549,0.2514
-3.458,0.9813,0.08891
-4.734,0.4352,0.009499
-4.595,0.00152,-0.1872
-3.288,-0.4102,-0.5977
-0.9861,-0.6619,-1.052
0.9124,-0.8427,-1.369
1.521,-1.058,-1.545
1.374,-1.237,-1.614
0.9857,-1.346,-1.607
0.8061,-1.469,-1.596
1.055,-1.406,-1.481
0.5655,-1.232,-1.265
-0.2653,-0.9881,-0.9263
-0.7956,-0.6032,-0.4645
-0.9568,-0.1219,0.05104
-0.9141,0.346,0.5483
-0.7772,0.8018,1.039
-0.5011,1.201,1.518
-0.1431,1.51,1.925
0.2881,1.747,2.2
0.4201,1.849,2.264
0.3321,1.851,2.138
-0.0112,1.74,1.887
-0.4755,1.454,1.496
-0.4645,1.118,1.053
-0.3655,0.7688,0.6167
-0.1468,0.3937,0.2563
0.111,0.02595,-0.04304
0.06332,-0.332,-0.379
-0.04419,-0.6533,-0.7321
0.08531,-0.9026,-1.056
0.2466,-1.098,-1.323
0.3089,-1.228,-1.524
0.6436,-1.286,-1.678
0.9063,-1.318,-1.758
0.9637,-1.305,-1.761
0.8904,-1.247,-1.705
0.6412,-1.133,-1.615
0.4543,-1.019,-1.578
0.05599,-1.027,-1.586
-0.3631,-0.7217,-1.333
-0.7296,-0.3332,-0.7394
-0.7455,0.1127,0.1586
-0.4156,0.5623,1.042
0.2014,0.9508,1.643
0.5374,1.316,2.041
0.5129,1.634,2.282
0.5923,1.85,2.374
0.7731,1.889,2.319
0.8721,1.904,2.122
0.8782,1.772,1.793
0.9332,1.472,1.341
1.046,1.061,0.8378
1.08,0.577,0.3748
1.171,0.05528,0.01194
1.054,-0.4701,-0.2825
0.9845,-0.9673,-0.511
0.9075,-1.433,-0.7015
0.6131,-1.807,-0.8885
-0.2067,-2.085,-1.151
-1.24,-2.157,-1.646
-1.598,-1.928,-2.216
-1.52,-1.455,-2.587
-0.5011,-0.8781,-2.447
0.2625,-0.3748,-1.867
0.6168,0.1616,-0.8213
1.082,0.7187,0.2832
