acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-2.297,7.884,5.695,-1.979,3.128,6.469,1
-0.05988,0.007185,9.906,-3.737,2.129,6.184,1
-0.002395,0.007185,9.901,-5.128,0.2178,4.666,1
-0.0958,0.02635,9.875,0.7939,1.251,2.138,1
-0.08862,0.01677,9.86,0.06455,0.3057,0.3907,1
-0.06467,-0.00958,9.853,-0.688,-0.3821,-1.018,1
-0.06227,-0.00479,9.882,2.023,-0.464,-2.265,1
-0.04551,0.0479,9.935,1.296,-0.8952,-3.656,1
-6.031,6.562,4.85,2.291,-1.724,-4.671,1
-0.07664,-0.007185,9.839,3.86,-2.573,-4.458,1
-0.08862,0.01198,9.848,3.417,-3.022,-3.25,1
-0.06227,0.00958,9.796,3.462,-2.375,-1.817,1
-0.07185,0.01916,9.856,4.454,-0.4126,-0.9654,1
-0.02635,-0.01437,9.93,2.675,2.369,0.7926,1
-0.05748,0.007185,9.846,-0.1334,5.128,2.44,1
-7.341,0.3305,6.287,0.5801,5.607,2.719,1
0.297,-0.02635,9.932,0.8269,5.286,2.394,1
-0.06227,0.04072,9.901,0.943,4.55,1.407,1
-0.06467,0.03832,9.879,-0.302,2.605,0.05837,1
-0.06227,0.05509,9.889,0.3529,0.5501,-0.671,1
-0.09101,0.04311,9.808,0.811,-1.627,-0.9288,1
-0.01677,0.02156,9.882,1.713,-3.49,-0.9752,1
-0.03353,0.02395,9.887,2.044,-4.546,-0.7663,1
0.1485,-0.00958,9.762,1.551,-4.543,-0.3289,1
-0.0479,0.03593,9.894,0.6717,-3.822,-0.05281,1
0.01198,0.03832,9.889,-0.688,-2.516,0.1488,1
-0.04311,0.007185,9.81,-3.669,-1.014,-0.09435,1
-0.01677,0.03114,9.865,-4.018,0.8103,0.486,1
-1.097,2.675,9.058,-1.959,2.605,2.04,1
-0.07904,0.01198,9.82,-2.67,3.828,3.14,1
0.9915,1.928,8.783,-4.804,2.803,3.081,1
-1.933,7.549,6.093,-4.947,1.554,2.121,1
-0.09101,0.0479,9.908,-3.996,-0.3943,0.6057,1
-0.08862,0.02635,9.915,-0.4926,-1.324,-0.6319,1
-1.688,-7.851,-5.784,0.06821,-1.383,-2.401,1
-0.09101,0.04072,9.863,0.2796,-1.556,-4.226,1
-0.0503,0.002395,9.884,2.293,-2.051,-5.289,1
-0.07425,-0.00958,9.812,4.474,-2.685,-5.14,1
-0.06227,0.00479,9.906,-0.2641,0.7456,-1.486,1
-0.04072,0.00479,9.839,0.4335,2.551,1.141,1
-0.05748,0.02395,9.82,-2.538,4.695,4.361,1
-0.08143,0.04311,9.865,-2.154,3.934,5.942,1
