gyro_x,gyro_y,gyro_z,acceleration_x,acceleration_y,acceleration_z,activity
-1.262,-0.01681,-0.01616,-5.676,1.59,8.066,1
-0.1187,-0.4652,-1.41,-0.05748,0.02635,9.899,1
-0.1297,-1.008,-2.77,-0.05988,0.01198,9.829,1
1.168,-1.727,-4.303,-0.0479,0.03114,9.834,1
4.029,-2.889,-6.334,-0.06706,0.01198,9.884,1
6.195,-3.875,-6.813,-0.02635,0.01916,9.901,1
4.319,-3.605,-5.747,-4.306,8.526,4.895,1
1.468,-1.669,-4.274,-3.734,6.344,6.052,1
0.2234,1.082,-1.538,-0.06467,0.007185,9.848,1
-2.964,3.643,2.144,-0.08143,0.04551,9.865,1
-4.701,4.368,5.425,-0.03593,0.03114,9.968,1
-3.869,2.987,7.219,-0.07185,0.00479,9.858,1
-4.874,2.019,6.33,-5.001,-0.6586,12.59,1
-4.502,0.7895,4.342,-3.66,6.864,5.897,1
-0.2812,0.5037,2.516,-0.04551,0.02635,9.87,1
-0.2763,0.5965,0.3675,-0.05509,0.03593,9.879,1
1.081,0.01129,-1.325,-0.0503,0.01677,9.853,1
1.427,-0.6338,-2.348,-0.06467,0.0503,9.851,1
0.7622,-1.43,-3.348,-0.05509,0.02635,9.867,1
1.637,-2.371,-4.582,-0.6467,0.5269,9.923,1
0.8953,-3.246,-5.59,-0.07425,0.05269,9.899,1
2.26,-3.115,-5.249,-0.09101,0.007185,9.848,1
1.801,-2.031,-4.017,-0.01437,-0.01198,9.932,1
1.917,-0.2379,-2.273,-0.04072,0,9.882,1
0.9967,1.483,1.45,-0.02874,0.0503,9.894,1
-2.281,3.697,4.839,-0.04551,0.03353,9.903,1
-1.979,3.128,6.469,-0.0958,0.01677,9.944,1
-3.737,2.129,6.184,-0.07185,-0.002395,9.894,1
-5.128,0.2178,4.666,-0.05988,-0.01198,9.853,1
0.7939,1.251,2.138,-1.799,7.427,6.239,1
0.06455,0.3057,0.3907,-0.05509,0.02874,9.846,1
-0.688,-0.3821,-1.018,-0.06467,0.03593,9.889,1
2.023,-0.464,-2.265,-0.02874,-0.002395,9.858,1
1.296,-0.8952,-3.656,-4.141,1.267,8.725,1
2.291,-1.724,-4.671,-0.0503,0.02156,9.872,1
3.86,-2.573,-4.458,-0.06227,-0.00958,9.853,1
3.417,-3.022,-3.25,-0.09341,0.00479,9.889,1
3.462,-2.375,-1.817,-0.05269,0.05509,9.851,1
4.454,-0.4126,-0.9654,-0.0503,0.02156,9.901,1
2.675,2.369,0.7926,3.959,6.428,6.205,1
-0.1334,5.128,2.44,-0.02395,0.00958,9.879,1
0.5801,5.607,2.719,-0.05748,0.02395,9.906,1
0.8269,5.286,2.394,-0.09101,0.02395,9.829,1
0.943,4.55,1.407,-0.07425,-0.04072,9.906,1
-0.302,2.605,0.05837,0.2251,8.095,4.809,1
0.3529,0.5501,-0.671,-0.05509,0.02874,9.829,1
0.811,-1.627,-0.9288,-0.05988,0.04311,9.906,1
1.713,-3.49,-0.9752,-0.06946,-0.01677,9.827,1
2.044,-4.546,-0.7663,-0.08622,0.04072,9.911,1
1.551,-4.543,-0.3289,-0.05509,-0.02635,9.858,1
0.6717,-3.822,-0.05281,-0.03832,0.03114,9.86,1
-0.688,-2.516,0.1488,-0.1006,0.00958,9.875,1
-3.669,-1.014,-0.09435,-0.07664,0.007185,9.863,1
-4.018,0.8103,0.486,-0.05748,0.0503,9.923,1
-1.959,2.605,2.04,-3.65,0.6371,6.917,1
-2.67,3.828,3.14,-0.03353,0.05988,9.839,1
-4.804,2.803,3.081,-0.03593,-0.00479,9.882,1
-4.947,1.554,2.121,-0.06946,-0.03114,9.853,1
-3.996,-0.3943,0.6057,-7.671,0.2826,6.524,1
-0.4926,-1.324,-0.6319,-0.08143,-0.04072,9.894,1
0.06821,-1.383,-2.401,-0.09341,0.01916,9.884,1
0.2796,-1.556,-4.226,-0.08383,0.0503,9.858,1
2.293,-2.051,-5.289,-0.03114,0.01677,9.884,1
4.474,-2.685,-5.14,-0.2563,8.591,7.88,1
-0.2641,0.7456,-1.486,-0.05748,0.0958,9.848,1
0.4335,2.551,1.141,-0.07425,0.007185,9.915,1
-2.538,4.695,4.361,-0.06467,0.01677,9.927,1
-2.154,3.934,5.942,-0.03832,0.00479,9.901,1
-3.92,3.212,5.22,-0.06227,0.00479,9.851,1
-5.406,1.576,2.995,-2.726,-6.718,-8.105,1
-1.626,0.1127,1.553,-2.764,-0.594,12.64,1
-0.9006,-0.3626,-0.01005,-0.07185,0.01677,9.839,1
0.3969,-0.5531,-1.58,-0.07664,0.03832,9.896,1
3.758,-2.48,-5.066,-4.663,-6.534,-5.671,1
3.518,-1.978,-3.612,-0.0958,0.02156,9.87,1
1.08,-0.9575,-2.022,-0.06946,0.007185,9.848,1
-0.1273,0.4108,0.2832,-0.03114,0.01677,9.911,1
-1.882,2.844,3.865,-0.02395,0.02635,9.891,1
-2.789,3.933,6.531,-8.057,-0.17,5.379,1
-2.535,2.799,7.181,-0.02395,0.06227,9.899,1
-3.442,2.177,4.575,-0.0479,0.01198,9.877,1
-4.512,0.9129,1.649,-3.056,-7.621,-5.571,1
-0.2617,-0.2135,-0.2739,-7.377,0.388,6.316,1
-0.2775,-0.6692,-1.272,-0.07185,0.03593,9.877,1
0.003459,-1.003,-2.374,-0.05509,0.00479,9.908,1
0.8855,-1.775,-4.356,-0.2179,7.887,5.889,1
2.123,-2.901,-6.301,1.243,-1.2,10.3,1
4.149,-3.606,-6.5,-0.06227,0.02395,9.784,1
4.678,-3.181,-4.694,-7.384,0.3257,6.088,1
2.172,-1.053,-2.13,-0.07185,0.01677,9.863,1
-1.664,2.041,0.4835,-0.07185,0.03114,9.935,1
-2.471,4.981,4.249,-0.1102,-0.00479,9.858,1
-2.175,5.405,6.231,-1.657,7.506,6.189,1
-0.3704,4.581,6.388,-0.0503,0.04551,9.87,1
-1.637,3.051,3.669,-0.07425,0.01677,9.865,1
-3.378,1.235,1.309,-0.06946,-0.00958,9.87,1
-1.111,-0.8036,-0.324,-0.07425,0.06706,9.824,1
1.015,-1.439,-1.527,-0.08862,0.00958,9.875,1
2.975,-1.703,-2.56,-2.884,-7.319,-6.308,1
3.808,-2.319,-3.378,-0.07425,0.01677,9.872,1
4.679,-3,-3.485,-0.06467,0.03353,9.853,1
4.487,-3.034,-2.46,-0.103,0.00958,9.872,1
3.368,-2.569,-1.017,-0.06946,-0.03353,9.947,1
3.094,-1.458,-0.5794,-0.07664,-0.01198,9.884,1
2.833,-0.4041,-0.7907,-6.28,-7.113,-4.074,1
1.037,0.9288,-0.2177,-4.342,3.25,6.071,1
-0.5805,2.237,0.8403,-7.633,0.4527,6.376,1
-1.178,3.543,1.705,-0.08383,0.01916,9.887,1
-1.579,4.009,1.963,-0.05269,0.02156,9.824,1
-2.103,3.492,1.517,-0.06946,0.01437,9.908,1
-2.115,2.049,0.4261,-0.0503,0.0479,9.863,1
-0.3997,0.03939,-0.4743,-0.08143,-0.02635,9.932,1
0.8452,-2.277,-1.003,-0.05988,-0.02395,9.844,1
1.279,-3.896,-1.086,-0.05988,0.01437,9.884,1
2.138,-4.286,-0.9092,1.114,7.005,4.948,1
1.814,-3.792,-0.357,-0.06227,0.02635,9.865,1
0.4677,-2.628,0.2477,-0.08383,0.01198,9.891,1
-0.5268,-1.027,0.4163,-0.01437,0.01916,9.863,1
-2.04,0.8323,0.3907,-0.05748,0.007185,9.86,1
-4.229,2.888,1.601,-0.05748,0.02874,9.906,1
-5.954,4.196,3.452,-0.06467,-0.00958,9.896,1
-3.367,3.399,5.036,-0.04311,-0.01916,9.853,1
-4.484,3.435,4.165,-0.05509,0.06706,9.848,1
-5.326,1.807,2.983,-0.05509,0.01437,9.877,1
-0.02831,1.48,1.748,-0.05988,-0.03353,9.817,1
0.3345,1.068,0.2111,-0.07664,0.01437,9.86,1
1.298,0.3815,-1.058,-0.1054,0.07664,9.913,1
1.579,-0.4774,-2.048,-0.05509,-0.01916,9.863,1
2.022,-1.373,-2.671,-0.07904,0.02874,9.899,1
2.722,-2.356,-3.233,-0.05748,-0.01437,9.939,1
2.84,-3.451,-3.906,-1.76,7.53,6.067,1
2.785,-3.898,-4.155,-0.05509,-0.002395,9.863,1
2.937,-3.353,-3.389,-0.06946,0.02635,9.879,1
1.503,-2.006,-2.368,-0.0958,0.01198,9.894,1
0.1989,-0.3332,-0.572,0.3736,8.129,7.638,1
-1.32,2.271,2.066,-5.082,7.389,7.755,1
