acceleration_x,acceleration_y,acceleration_z
-8.9,-4.05,2.417
-9.52,-3.937,2.613
-10.45,-3.284,2.27
-11.43,-3.411,2.45
-12.27,-3.149,2.431
-13.1,-2.402,2.318
-12.98,-1.344,1.574
-12.72,-1.104,1.401
-12.24,-0.05748,0.6754
-10.53,1.128,0.2994
-9.309,0.503,0.6107
-8.79,1.971,-0.3736
-8.845,1.595,-0.5437
-9.439,0.7496,-0.1796
-10.42,0.194,0.2156
-11.32,-0.7305,0.4335
-12.47,-1.837,1.245
-13.06,-2.632,2.129
-13.15,-3.094,2.943
-12.2,-3.109,3.087
-11.35,-3.09,2.417
-10.34,-3.137,2.666
-9.338,-2.869,2.742
-8.859,-3.056,2.594
-8.442,-3.497,2.567
-8.383,-3.549,2.359
-8.818,-3.37,2.033
-9.575,-3.044,2.041
-10.27,-2.644,1.782
-11.46,-2.577,2.029
-12.23,-2.134,1.748
-12.91,-1.885,1.997
-12.66,-1.073,1.82
-11.8,-0.1293,1.375
-11.19,-0.6203,1.269
-10.67,-0.1485,0.8766
-9.937,0.07185,0.4048
-9.156,0.8981,-0.2347
-8.991,0.5365,-0.2706
-9.123,0.2491,-0.297
-9.252,-0.5604,-0.03832
-9.966,-1.384,0.1102
-10.64,-1.882,0.5628
-11.21,-2.476,1.073
-11.43,-2.661,1.614
-11.74,-2.711,1.875
-11.34,-2.749,2.132
-10.82,-2.567,2.371
-10.16,-2.45,2.726
-9.633,-2.29,2.881
-9.448,-2.611,3.284
-9.194,-2.874,3.245
-9.209,-2.862,2.893
-9.405,-2.838,2.618
-9.76,-2.644,2.326
-10.28,-2.551,2.179
-10.78,-2.213,1.985
-11.29,-2.057,1.744
-11.56,-2.017,1.842
-12.07,-1.272,1.708
-11.64,-1.116,1.298
-10.67,-0.7353,0.8981
-9.64,-1.008,0.7928
-8.608,-0.4503,0.17
-7.932,-0.3808,-0.2156
-7.868,0.06467,-0.6227
-8.727,-0.6514,-0.03832
-9.673,-0.8957,0.4431
-10.46,-1.662,0.9388
-10.93,-2.167,1.53
-11.41,-2.225,1.727
-11.25,-2.491,2.28
-11.18,-2.704,2.69
-10.83,-2.749,2.833
-10.13,-2.953,3.164
-9.717,-2.941,2.886
-9.278,-3.454,3.602
-9.06,-3.31,3.427
