acceleration_x,acceleration_y,acceleration_z,gyro_x,gyro_y,gyro_z,activity
-11.62,-0.6922,0.02635,1.108,-2.755,-1.266,0
-10.35,-1.454,0.0479,0.943,-2.072,-0.985,0
-10.94,-3.001,2.424,0.6595,-1.284,-0.6392,0
-7.523,-1.847,-0.002395,0.2918,-0.3516,-0.2605,0
-9.139,-1.655,0.5341,-0.2055,0.6515,0.1207,0
-11.75,-2.213,1.882,-0.5158,1.64,0.5263,0
-9.036,-3.363,2.876,-0.82,2.616,0.9197,0
-11.11,-2.85,1.633,-1.226,3.439,1.367,0
-3.545,-2.124,6.814,-1.408,4.083,1.786,0
-14.13,-1.3,1.839,-1.845,4.361,2.005,0
-8.062,4.994,-2.836,-1.913,4.555,2.007,0
-9.918,-1.243,-1.303,-2.66,4.198,1.92,0
-7.963,0.3233,-0.2611,-1.882,3.286,2.159,0
-8.514,-6.677,3.039,-1.582,2.531,1.842,0
-7.995,0.3305,0.07664,-0.8078,1.538,1.061,0
-8.648,-1.382,3.111,0.08043,0.6136,0.1769,0
-11.29,-1.669,1.229,0.5923,-0.2416,-0.4963,0
-10.46,-2.532,0.3808,0.7133,-0.9074,-0.8249,0
-12.01,0.4766,-0.8933,0.8758,-1.61,-1.105,0
-11.4,-1.233,1.801,1.169,-2.166,-1.308,0
-9.175,-2.237,4.232,1.114,-2.651,-1.448,0
-11.08,-1.885,0.9484,1.129,-2.89,-1.449,0
-9.585,0.6586,-0.6706,1.283,-3.055,-1.364,0
-8.993,-3.422,3.65,1.363,-3.027,-1.24,0
-11.63,-2.697,2.065,1.648,-2.969,-1.312,0
-15.15,-0.8957,1.602,1.777,-2.669,-1.336,0
-11.85,-1.894,1.856,1.346,-2.082,-1.061,0
-11.17,-1.392,1.696,0.6449,-1.21,-0.6942,0
-8.624,-0.04072,0.1605,0.09753,-0.08522,-0.2141,0
-1.506,1.674,9.427,-0.4535,1.025,0.2343,0
-9.805,-1.578,-0.2611,-0.7736,2.088,0.624,0
-0.6371,2.273,9.194,-0.9055,2.849,0.9478,0
-8.368,-1.226,0.1293,0.09142,3.388,1.151,0
-11.2,-1.245,0.5964,-0.08695,3.793,0.8256,0
-9.226,-7.044,2.285,-2.257,4.001,0.3662,0
-7.7,-0.661,-1.516,-3.746,3.325,0.7755,0
-11.48,-3.636,2.704,-3.939,2.421,1.05,0
-12.1,-2.091,2.105,-3.343,1.557,0.9551,0
-10.77,-0.1413,-0.297,-2.853,0.7016,0.5666,0
-11.87,-1.42,-0.2874,-2.665,0.07727,0.0266,0
-9.489,-2.905,2.565,-2.395,-0.4395,-0.5012,0
-9.405,-2.838,2.618,-1.955,-0.8109,-1.025,0
-8.806,-2.045,4.175,-0.9556,-1.055,-1.461,0
-1.253,1.394,9.616,0.7658,-1.317,-1.767,0
-11.8,-2.033,2.625,3.103,-1.67,-1.939,0
-14.93,-0.9293,-1.473,5.174,-2.091,-1.808,0
-8.941,-3.382,3.236,5.203,-2.83,-1.851,0
-14.67,-1.466,1.315,4.348,-3.375,-1.976,0
-8.929,-2.826,2.932,3.731,-3.485,-1.81,0
-14.07,-2.117,2.517,3.253,-3.3,-1.475,0
-7.441,-4.043,2.584,2.308,-2.821,-1.134,0
-12.92,-1.691,0.3018,1.316,-2.104,-0.864,0
-9.503,-0.9029,-0.376,0.4323,-1.334,-0.6319,0
